,"Episode End Value","action","Nepse Data","Stock price","Date","Normal Investor"
365,16705.282888889,2,1281.9,438.94162962963,"2018-03-13",16369.636963695
366,16738.0265185186,2,1285.96,439.826592592593,"2018-03-14",16402.6402640251
367,16607.0520000001,2,1288.36,440.711555555556,"2018-03-15",16435.6435643551
368,16607.0520000001,2,1278.96,437.171703703704,"2018-03-18",16303.630363035
369,16574.3083703704,2,1270.52,437.171703703704,"2018-03-19",16303.630363035
370,16443.3338518519,0,1255.47,436.286740740741,"2018-03-20",16270.6270627049
371,16443.3338518519,2,1231.07,432.746888888889,"2018-03-21",16138.6138613848
372,16207.9337037038,2,1220.44,430.092,"2018-03-22",16039.6039603947
373,16207.9337037038,2,1168.55,423.897259259259,"2018-03-26",15808.5808580845
374,16443.3338518519,2,1207.71,423.897259259259,"2018-03-27",15808.5808580845
375,16544.2196296297,0,1204.81,430.092,"2018-03-28",16039.6039603947
376,16544.2196296297,2,1220.29,432.746888888889,"2018-03-29",16138.6138613848
377,16544.2196296297,2,1196.24,426.552148148148,"2018-04-01",15907.5907590746
378,16678.7340000001,2,1192.96,426.552148148148,"2018-04-02",15907.5907590746
379,16947.7627407408,2,1199,430.092,"2018-04-03",16039.6039603947
380,17183.1628888889,2,1226.45,437.171703703704,"2018-04-04",16303.630363035
381,17384.9344444445,2,1250.39,443.366444444444,"2018-04-05",16534.6534653451
382,17183.1628888889,2,1294.65,448.676222222222,"2018-04-08",16732.6732673253
383,17082.2771111112,2,1287.78,443.366444444444,"2018-04-09",16534.6534653451
384,17284.0486666667,2,1270.23,440.711555555556,"2018-04-10",16435.6435643551
385,17250.4200740741,0,1273.33,446.021333333333,"2018-04-11",16633.6633663352
386,17250.4200740741,2,1277.55,445.13637037037,"2018-04-12",16600.6600660052
387,17353.9607407408,2,1280.15,440.711555555556,"2018-04-15",16435.6435643551
388,17422.9878518519,2,1297.57,443.366444444444,"2018-04-16",16534.6534653451
389,17284.9336296297,2,1331.18,445.13637037037,"2018-04-17",16600.6600660052
390,17871.6640740741,2,1363.01,441.596518518519,"2018-04-18",16468.6468646851
391,18078.7454074075,2,1388.31,456.640888888889,"2018-04-19",17029.7029702956
392,17768.1234074075,2,1438.49,461.950666666667,"2018-04-22",17227.7227722758
393,17630.0691851852,1,1410.85,453.986,"2018-04-23",16930.6930693055
394,17768.1234074075,2,1394.86,450.446148148148,"2018-04-24",16798.6798679854
395,17492.014962963,2,1386.47,453.986,"2018-04-25",16930.6930693055
396,17353.9607407408,2,1357.22,446.906296296296,"2018-04-26",16666.6666666653
397,17388.4742962963,2,1349.01,443.366444444444,"2018-04-29",16534.6534653451
398,17422.9878518519,2,1360.38,444.251407407407,"2018-05-02",16567.6567656752
399,17215.9065185186,2,1366.15,445.13637037037,"2018-05-03",16600.6600660052
400,17215.9065185186,2,1353.64,439.826592592593,"2018-05-06",16402.6402640251
401,17215.9065185186,0,1345.37,439.826592592593,"2018-05-07",16402.6402640251
402,17215.9065185186,2,1361.02,439.826592592593,"2018-05-08",16402.6402640251
403,17215.9065185186,2,1356.15,439.826592592593,"2018-05-09",16402.6402640251
404,17112.3658518519,2,1348.45,439.826592592593,"2018-05-10",16402.6402640251
405,17008.8251851852,0,1338.17,437.171703703704,"2018-05-14",16303.630363035
406,17008.8251851852,2,1333.85,434.516814814815,"2018-05-15",16204.6204620449
407,17008.8251851852,2,1338.01,437.171703703704,"2018-05-16",16303.630363035
408,16975.1965925926,2,1339.65,437.171703703704,"2018-05-17",16303.630363035
409,16975.1965925926,2,1339.19,436.286740740741,"2018-05-20",16270.6270627049
410,16874.3108148149,2,1337.13,436.286740740741,"2018-05-21",16270.6270627049
411,16807.0536296297,2,1332.82,433.631851851852,"2018-05-22",16171.6171617148
412,16807.0536296297,2,1328.27,431.861925925926,"2018-05-23",16105.6105610548
413,16739.7964444445,2,1318.22,431.861925925926,"2018-05-24",16105.6105610548
414,17008.8251851852,2,1300.41,430.092,"2018-05-27",16039.6039603947
415,16907.9394074075,2,1336.39,437.171703703704,"2018-05-28",16303.630363035
